Category,Power,Description,Example from Marvel Comics,Example from DC Comics
Almighty,Energy manipulation,"The power to manipulate, generate, absorb, and convert energy.",Captain Marvel,Green Lantern
Almighty,Immortality,The power to live eternally and never die.,Deadpool,Dream
Almighty,Magic,The power to utilize supernatural forces to potentially achieve any effect one desires.,Doctor Strange,John Constantine
Almighty,Matter manipulation,The power to manipulate anything in the universe that has substance and physical form.,Jean Grey,Darkseid
Almighty,Omnipotence,"The power to be supremely almighty and invincible, holding infinite power with almost no limitations.",One-Above-All,Presence
Almighty,Omnipresence,The power to be absolutely anywhere and everywhere.,Eternity,Dream
Almighty,Omniscience,The power to possess absolute and infinite knowledge of everything.,Eternity,Spectre
Almighty,Probability manipulation,"The power to manipulate probability, luck, and even the course of destiny itself.",Scarlet Witch,John Constantine
Almighty,Reality warping,The power to manipulate all of reality.,Phoenix Force,Spectre
Almighty,Telekinesis,"The power to move, manipulate or otherwise interact with objects with one's mind.",Jean Grey,Raven
Almighty,Time manipulation,"The power to manipulate, stop, reverse, accelerate, or alter time.",Quicksilver,Flash
Superpower manipulation,Power absorption,The power to absorb or steal powers from others.,Rogue,Parasite
Superpower manipulation,Power augmentation,The ability to enhance the powers of oneself or others.,Apocalypse,Saint Walker
Superpower manipulation,Power bestowal,The ability to bestow powers upon another.,Galactus,Shazam
Superpower manipulation,Power negation,The power to nullify other powers.,Leech,Metallo
Superpower manipulation,Power replication,The power to replicate the powers of others.,Rogue,Amazo
Personal physical,Animal morphing,The power to transform into animals.,Mystique,Beast Boy
Personal physical,Aquatic breathing,The power to breathe underwater.,Namor,Aquaman
Personal physical,Bone Manipulation,The power to manipulate the bones within one's body.,Wolverine,Doomsday
Personal physical,Density manipulation,The power to manipulate one's density.,Vision,Martian Manhunter
Personal physical,Elasticity,"The ability to stretch, deform, expand, or contract one's body into any form imaginable.",Reed Richards,Plastic Man
Personal physical,Elemental mimicry,The power to transform into or have a physical body made up of inorganic elements.,Ben Grimm,Killer Frost
Personal physical,Enhanced accuracy,The ability to achieve complete and utter accuracy on distant targets.,Hawkeye,Green Arrow
Personal physical,Enhanced agility,The ability to possess agility and reflexes beyond that of peak human potential.,Beast,Superman
Personal physical,Enhanced durability,The power to possess durability beyond that of peak human potential.,Captain America,Superman
Personal physical,Enhanced hearing,The power to hear sounds far beyond that of peak human potential.,Daredevil,Superman
Personal physical,Enhanced longevity,The power to possess a long lifespan and decelerate aging.,Wolverine,Wonder Woman
Personal physical,Enhanced senses,The power to possess extremely accurate senses.,Daredevil,Superman
Personal physical,Enhanced speed,The power to possess speed beyond that of peak human potential.,Quicksilver,Flash
Personal physical,Enhanced stamina,The power to possess stamina and endurance beyond that of peak human potential.,Spider-Man,Superman
Personal physical,Enhanced strength,The power to possess a level of strength beyond that of beyond that of peak human potential.,Hulk,Superman
Personal physical,Healing,The power to heal physical injuries or diseases.,Wolverine,Superman
Personal physical,Illusion manipulation,The power to create and shape illusions.,Doctor Strange,Scarecrow
Personal physical,Intangibility,The ability to phase through physical matter.,Kitty Pryde,Flash
Personal physical,Invisibility,The power to render oneself unable to be seen.,Invisible Woman,Martian Manhunter
Personal physical,Invulnerability,The power to be completely immune to all forms of physical harm.,Thor,Superman
Personal physical,Replication,The ability to create clones of oneself.,Loki,Mirror Master
Personal physical,Shapeshifting,The power to completely change and reshape one's physical form.,Mystique,Martian Manhunter
Personal physical,Size manipulation,The power to increase or decrease the size of oneself.,Ant-Man,Atom
Personal physical,Weapon proficiency,"The power to possess proficiency, capabilities and knowledge in weapons beyond that of peak human potential.",Black Widow,Rorschach
Personal physical,X-ray vision,The power to see through practically anything.,Star-Lord,Superman
Mental,Empathy,"The power to fully interpret and replicate the emotions, moods, and temperaments of others.",Jean Grey,Mento
Mental,Enhanced intelligence,The power of extremely heightened and enhanced intelligence and other mental abilities.,Iron Man,Batman
Mental,Mind control,The power to control the minds of others.,Professor X,Gorilla Grodd
Mental,Precognition,The power to perceive future events.,Spider-Man,Doctor Manhattan
Mental,Telepathy,The power to mentally communicate with other minds.,Professor X,Martian Manhunter
Spiritual,Astral projection,The power to separate one's spirit from the body.,Doctor Strange,John Constantine
Spiritual,Chi manipulation,The power to manipulate the flow of vital energy in the physical body.,Iron Fist,Kong Kenan
Spiritual,Clairvoyance,The power to acquire information using sight outside the normal range of detection.,Doctor Strange,Shazam
Spiritual,Mediumship,The power to perceive and communicate with spirits and those who are in the afterlife.,Doctor Strange,John Constantine
Spiritual,Possession,The power to inhabit the bodies of other beings.,Phoenix Force,Parallax
Spiritual,Resurrection,The power to bring the deceased back to life.,Ghost Rider,Ra's al Ghul
Elemental,Air manipulation,The power to manipulate air.,Thor,Red Tornado
Elemental,Animal manipulation,The power to manipulate animals.,Namor,Aquaman
Elemental,Darkness manipulation,The power to manipulate darkness.,Mandarin,Shade
Elemental,Earth manipulation,The power to manipulate earth.,Thor,Terra
Elemental,Electricity manipulation,The power to manipulate electricity.,Thor,Shazam
Elemental,Fire manipulation,The power to manipulate fire.,Human Torch,Lucifer Morningstar
Elemental,Gravity manipulation,The power to manipulate gravity.,Nova,Geo-Force
Elemental,Ice manipulation,The power to manipulate ice.,Iceman,Mr. Freeze
Elemental,Light manipulation,The power to manipulate light.,Jubilee,Green Lantern
Elemental,Metal manipulation,The power to manipulate metal.,Magneto,Doctor Polaris
Elemental,Plant manipulation,The power to manipulate plants.,Groot,Swamp Thing
Elemental,Water manipulation,The power to manipulate water.,Namor,Aquaman
Elemental,Weather manipulation,The power to manipulate the weather.,Thor,Zatanna
Transportation,Dimensional travel,The power to travel between different dimensions.,Thor,Flash
Transportation,Flight,The power to fly without any outside influence.,Wasp,Hawkman
Transportation,Portal creation,The power to create portals for transport between two non-adjacent locations.,Silver Surfer,John Constantine
Transportation,Teleportation,The power to move instantaneously from one location to another without physically occupying the space in between.,Nightcrawler,Raven
Transportation,Time travel,The ability to travel through time.,Cable,Booster Gold
Transportation,Wallcrawling,The power to fasten onto and climb vertical and horizontal surfaces without falling.,Spider-Man,Catwoman
Other,Energy blast,The ability to discharge energy onto a specific target.,Iron Man,Starfire
Other,Energy constructs,The power to create solid constructs from pure energy.,Gambit,Green Lantern
Other,Force field generation,The ability to project powerful fields of manipulated energy.,Captain Britain,Booster Gold
Other,Heat vision,The power to generate beams of heat from one's eyes.,Cyclops,Superman
Other,Radiation manipulation,The power to manipulate radioactive decay and radiation spectra.,She-Hulk,Captain Atom
Other,Sonic scream,The power to emit a highly enhanced scream of a high amplitude.,Banshee,Black Canary
Other,Technology manipulation,The power to manipulate technology.,Iron Man,Blue Beetle
